city_id,city,country,probability_tif,map_preview,is_training_city
2047,Nyala,Sudan,city_probability_maps/sudan/nyala_2047/morphological_informality_probability.tif,city_probability_maps/sudan/nyala_2047/map_preview.png,false
2276,Yaoundé,Cameroon,city_probability_maps/cameroon/yaounde_2276/morphological_informality_probability.tif,city_probability_maps/cameroon/yaounde_2276/map_preview.png,false
2880,Ibadan,Nigeria,city_probability_maps/nigeria/ibadan_2880/morphological_informality_probability.tif,city_probability_maps/nigeria/ibadan_2880/map_preview.png,false
2902,Mombasa,Kenya,city_probability_maps/kenya/mombasa_2902/morphological_informality_probability.tif,city_probability_maps/kenya/mombasa_2902/map_preview.png,false
2967,Mogadishu,Somalia,city_probability_maps/somalia/mogadishu_2967/morphological_informality_probability.tif,city_probability_maps/somalia/mogadishu_2967/map_preview.png,false
2996,Abidjan,Côte d'Ivoire,city_probability_maps/cote-d-ivoire/abidjan_2996/morphological_informality_probability.tif,city_probability_maps/cote-d-ivoire/abidjan_2996/map_preview.png,false
3306,Nampula,Mozambique,city_probability_maps/mozambique/nampula_3306/morphological_informality_probability.tif,city_probability_maps/mozambique/nampula_3306/map_preview.png,false
3397,Algiers,Algeria,city_probability_maps/algeria/algiers_3397/morphological_informality_probability.tif,city_probability_maps/algeria/algiers_3397/map_preview.png,false
3509,Malanje,Angola,city_probability_maps/angola/malanje_3509/morphological_informality_probability.tif,city_probability_maps/angola/malanje_3509/map_preview.png,false
3512,Johannesburg,South Africa,city_probability_maps/south-africa/johannesburg_3512/morphological_informality_probability.tif,city_probability_maps/south-africa/johannesburg_3512/map_preview.png,false
3562,Tshikapa,Democratic Republic of the Congo,city_probability_maps/democratic-republic-of-the-congo/tshikapa_3562/morphological_informality_probability.tif,city_probability_maps/democratic-republic-of-the-congo/tshikapa_3562/map_preview.png,false
3673,Zanzibar City,Tanzania,city_probability_maps/tanzania/zanzibar-city_3673/morphological_informality_probability.tif,city_probability_maps/tanzania/zanzibar-city_3673/map_preview.png,false
3809,Soshanguve,South Africa,city_probability_maps/south-africa/soshanguve_3809/morphological_informality_probability.tif,city_probability_maps/south-africa/soshanguve_3809/map_preview.png,false
3943,Pretoria,South Africa,city_probability_maps/south-africa/pretoria_3943/morphological_informality_probability.tif,city_probability_maps/south-africa/pretoria_3943/map_preview.png,false
4155,Khartoum,Sudan,city_probability_maps/sudan/khartoum_4155/morphological_informality_probability.tif,city_probability_maps/sudan/khartoum_4155/map_preview.png,false
4183,Ilorin,Nigeria,city_probability_maps/nigeria/ilorin_4183/morphological_informality_probability.tif,city_probability_maps/nigeria/ilorin_4183/map_preview.png,false
4230,El Mahalla El Kubra,Egypt,city_probability_maps/egypt/el-mahalla-el-kubra_4230/morphological_informality_probability.tif,city_probability_maps/egypt/el-mahalla-el-kubra_4230/map_preview.png,false
4305,Banha,Egypt,city_probability_maps/egypt/banha_4305/morphological_informality_probability.tif,city_probability_maps/egypt/banha_4305/map_preview.png,false
