"city","threshold","F1","AUC"
"3175",0.471571922302246,1,1
"431",0.413043476641178,1,1
"3570",0.459866225719452,1,1
"47",0.466555178165436,1,1
"1711",0.493311047554016,1,1
"1289",0.444816045463085,1,1
"1717",0.453177265822887,1,1
"7209",0.469899669289589,1,1
