"iso3","threshold","reported_share","estimated_share","share_ratio","threshold_updated"
"SLE",0.18,49.27874,48.6069690497608,1.0138204657351,0.474822479455873
"ZAF",0.22,24.2,24.6351593728019,0.982335840973597,0.71746572763283
"NGA",0.12,48.49726,48.0609549085801,1.00907816110291,0.425576574626828
"UGA",0.09,52.68098,52.2515915078494,1.00821771126504,0.403799119658996
"KEN",0.12,40.49575,40.026903824438,1.01171327609096,0.418250242354724
"GHA",0.27,33.48685,33.1460435036703,1.01028196612039,0.514636760509812
"TZA",0.07,70.08585,69.1347282539501,1.01375751044477,0.461906687446832
"SEN",0.22,46.41165,46.9542506217677,0.988444057469078,0.464859874609921
"GMB",0.17,37.08102,36.5744600854893,1.01385009958662,0.439417397034202
"LBR",0.1,60.47684,61.7787528367632,0.978926203962012,0.21753855335259
"MRT",0.3,58.56017,58.328774050909,1.0039670977636,0.518341803157481
"EGY",0.82,3.83938,3.86795926775456,0.992611280063672,0.947118796786155
"BDI",0.51,36.75168,36.8807304594295,0.996500870296714,0.702365823837327
"MOZ",0.33,54.95891,54.7010938630463,1.00471318064679,0.547401677497227
"MLI",0.04,92.49697,92.6803418133843,0.998021459461668,0.170406340523109
"BFA",0.07,87.88175,88.1730141901389,0.996696674228344,0.193317035826157
"TCD",0.11,82,80.7418510933195,1.0155823639122,0.553016684329825
"COG",0.11,75.34233,75.2760140885069,1.00088097001809,0.315513230610177
"MWI",0.33,37.97408,38.4755727687337,0.986965944035505,0.605727189663916
"NER",0.09,70.44397,69.0777034413417,1.01977869110571,0.555006899617454
"AGO",0.19,62.7,62.948801862067,0.99604755206283,0.377452789944682
"CAF",0.17,68.9131,68.7622858718527,1.00219326810089,0.391957220336371
"RWA",0.24,38.34923,38.4714008119078,0.996824373188149,0.529428651572431
"GIN",0.12,43.95734,43.7609400085006,1.00448802040041,0.424633229804265
"TGO",0.47,38.46053,38.0628069286792,1.01044912615263,0.649906173665371
"CMR",0.32,32.67179,32.8051547331985,0.995934640934234,0.608512678806195
"DZA",0.2,13.246,13.5843830422746,0.975090289988026,0.884569393212167
"TUN",0.51,7.64301,7.47868466605,1.02197249132538,0.578524419211174
"ZWE",0.12,54.88268,55.7151471284567,0.985058513324261,0.309122385536623
"ZMB",0.1,48.25813,48.5474866882722,0.994039718469255,0.379748094098913
"BEN",0.04,64.01064,64.369521871517,0.994424661531069,0.242133515524514
"COD",0.16,78.36226,77.8667875129867,1.00636307857096,0.419442004879489
"SOM",0.28,48.68591,48.4502348717886,1.00486427215131,0.522742947890669
"MDG",0.12,65.71715,65.5555125861174,1.00246565708216,0.366149897363493
"SDN",0.17,73.7,73.6107605400576,1.00121231541812,0.369664676938064
"CIV",0.49,48.26127,48.5253500473993,0.994557895056061,0.649229160369502
"ETH",0.18,64.31438,64.7838662658868,0.992753037246033,0.339786706166337
